,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,index,team_id,team_name,name,element_type_x,position_name_x,element_type_y,position_name_y,gameweek,element_type,position_name
0,1,2,8,0,False,2020-09-12T11:30:00Z,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,0,76656,0,0,1,1,Arsenal,Mesut Özil,3,Midfielder,3,Midfielder,2020-09-12,3,Midfielder
1,1,9,19,0,True,2020-09-19T19:00:00Z,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-16828,68335,995,17823,1,1,Arsenal,Mesut Özil,3,Midfielder,3,Midfielder,2020-09-19,3,Midfielder
2,1,23,11,0,False,2020-09-28T19:00:00Z,3.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-11451,59793,675,12126,1,1,Arsenal,Mesut Özil,3,Midfielder,3,Midfielder,2020-09-28,3,Midfielder
3,1,29,15,0,True,2020-10-04T13:00:00Z,2.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-5324,56403,647,5971,1,1,Arsenal,Mesut Özil,3,Midfielder,3,Midfielder,2020-10-04,3,Midfielder
4,1,44,12,0,False,2020-10-17T16:30:00Z,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-4224,53689,616,4840,1,1,Arsenal,Mesut Özil,3,Midfielder,3,Midfielder,2020-10-17,3,Midfielder
5,1,49,9,0,True,2020-10-25T19:15:00Z,0.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-3184,51023,276,3460,1,1,Arsenal,Mesut Özil,3,Midfielder,3,Midfielder,2020-10-25,3,Midfielder
6,1,64,13,0,False,2020-11-01T16:30:00Z,0.0,1.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-3147,48026,57,3204,1,1,Arsenal,Mesut Özil,3,Midfielder,3,Midfielder,2020-11-01,3,Midfielder
7,1,69,2,0,True,2020-11-08T19:15:00Z,0.0,3.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-1691,46467,38,1729,1,1,Arsenal,Mesut Özil,3,Midfielder,3,Midfielder,2020-11-08,3,Midfielder
8,1,82,10,0,False,2020-11-22T16:30:00Z,0.0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-1364,45182,14,1378,1,1,Arsenal,Mesut Özil,3,Midfielder,3,Midfielder,2020-11-22,3,Midfielder
9,1,89,20,0,True,2020-11-29T19:15:00Z,1.0,2.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-525,44753,12,537,1,1,Arsenal,Mesut Özil,3,Midfielder,3,Midfielder,2020-11-29,3,Midfielder
